event_id,event_type,severity,department,employee_id,location,created_at,resolved_at,status,requires_approval
EVTFC9DD6AA,Customer Escalation,Warning,Finance,EMP5BB7C262,Austin,2024-12-03 00:00:00,2024-12-06 00:00:00,Resolved,No
EVT4E70FD8B,Purchase Request,Normal,Sales,EMP287DA7B4,New York,2024-04-10 00:00:00,2024-04-18 00:00:00,Escalated,Yes
EVTB3CF8B02,Employee Injury,Critical,IT,EMP1652834A,Phoenix,2024-11-24 00:00:00,2024-11-26 00:00:00,Resolved,Yes
EVT7BBC101E,Compliance Issue,Critical,Operations,EMP190354FD,Dallas,2024-11-09 00:00:00,2024-11-12 00:00:00,Resolved,Yes
EVT5AA1211A,Customer Escalation,Normal,Marketing,EMP343F0BD5,San Antonio,2024-04-29 00:00:00,2024-05-12 00:00:00,Resolved,No
EVT4558636D,Machine Breakdown,Warning,Manufacturing,EMPFA8EDC9B,Jacksonville,2024-09-01 00:00:00,2024-09-04 00:00:00,Resolved,No
EVT5B745E0E,Cyber Alert,Critical,Sales,EMPE2E2BC1B,Chicago,2024-06-02 00:00:00,2024-06-04 00:00:00,Resolved,Yes
EVT1D8935B8,Purchase Request,Warning,Manufacturing,EMPB994A18F,Dallas,2024-04-23 00:00:00,2024-04-27 00:00:00,Escalated,Yes
EVTC65B0B52,Machine Breakdown,Critical,Logistics,EMP47A7189A,Dallas,2024-03-25 00:00:00,,Pending,No
EVT88C55ABB,Inventory Shortage,Warning,Sales,EMP00FAB26B,Chicago,2024-11-13 00:00:00,,Pending,Yes
EVTF1331C7B,Machine Breakdown,Critical,Procurement,EMP425F23E3,Dallas,2024-04-06 00:00:00,,Pending,No
EVT33B870A1,Power Outage,Critical,Operations,EMP2649ABCA,Philadelphia,2024-12-28 00:00:00,2024-12-31 00:00:00,Resolved,Yes
EVT7D5D5409,Equipment Failure,Critical,Finance,EMPC43040EE,Phoenix,2024-09-26 00:00:00,2024-09-27 00:00:00,Resolved,No
EVTC684475A,Power Outage,Critical,IT,EMP1EA588B9,San Diego,2024-07-22 00:00:00,2024-07-23 00:00:00,Resolved,Yes
EVT1157F13C,Purchase Request,Normal,Manufacturing,EMP1E9D029D,San Jose,2024-05-04 00:00:00,2024-05-19 00:00:00,Resolved,Yes
EVTEB51C22B,Equipment Failure,Critical,IT,EMP98C2294E,Dallas,2024-09-25 00:00:00,2024-09-28 00:00:00,Resolved,Yes
EVTF9982AE7,Purchase Request,Normal,Finance,EMPA607C19C,Los Angeles,2024-05-28 00:00:00,2024-06-11 00:00:00,Resolved,Yes
EVT613F021A,Customer Escalation,Warning,Marketing,EMP9404F5CC,Houston,2024-10-03 00:00:00,2024-10-10 00:00:00,Resolved,No
EVT42C46105,Compliance Issue,Warning,Logistics,EMP200D0008,Chicago,2024-08-17 00:00:00,,Pending,No
EVT169B757D,Inventory Shortage,Critical,Quality,EMP2A1E43F7,New York,2024-03-28 00:00:00,2024-03-29 00:00:00,Resolved,Yes
EVT371DB310,Power Outage,Critical,IT,EMP326F19F8,Austin,2024-05-23 00:00:00,2024-05-25 00:00:00,Resolved,No
EVT5795A0EA,Machine Breakdown,Warning,Quality,EMP50791BD9,Houston,2024-10-02 00:00:00,2024-10-08 00:00:00,Resolved,No
EVT2CB19D14,Purchase Request,Normal,Procurement,EMPD8F6940A,Houston,2024-12-13 00:00:00,2024-12-28 00:00:00,Escalated,No
EVT2C2B820A,Compliance Issue,Critical,Marketing,EMP65CD4A9F,Chicago,2024-09-21 00:00:00,,Pending,No
EVT36CE9589,Purchase Request,Normal,HR,EMP9FB0A12C,San Antonio,2024-08-09 00:00:00,,Pending,Yes
EVTC2540A38,Customer Escalation,Critical,Procurement,EMPF3966B90,Phoenix,2024-06-23 00:00:00,2024-06-25 00:00:00,Resolved,No
EVT29D5923B,Employee Injury,Critical,Manufacturing,EMP42361493,New York,2024-10-07 00:00:00,2024-10-08 00:00:00,Resolved,Yes
EVT45B18814,Inventory Shortage,Normal,HR,EMPC2DDB4AE,Austin,2024-11-30 00:00:00,,Pending,No
EVTDF0C8F56,Cyber Alert,Warning,Logistics,EMPDCA73E9A,Houston,2024-02-10 00:00:00,2024-02-15 00:00:00,Resolved,No
EVT846D181F,Purchase Request,Normal,Sales,EMP200D0008,San Antonio,2024-01-02 00:00:00,2024-01-15 00:00:00,Resolved,No
EVT807B0A60,Inventory Shortage,Normal,Logistics,EMP43AB5565,Austin,2024-11-20 00:00:00,2024-11-29 00:00:00,Resolved,No
EVT8DB033E3,Machine Breakdown,Warning,IT,EMPD40CAFC0,Los Angeles,2024-12-05 00:00:00,,Pending,No
EVT94478C91,Machine Breakdown,Critical,Logistics,EMPB2296F0F,Houston,2024-05-06 00:00:00,,Pending,No
EVT95108834,Purchase Request,Normal,Manufacturing,EMPBEED9B0E,Philadelphia,2024-06-21 00:00:00,2024-06-29 00:00:00,Resolved,Yes
EVT8AA381CF,Power Outage,Critical,Manufacturing,EMP75006318,Jacksonville,2024-04-29 00:00:00,2024-04-30 00:00:00,Resolved,No
EVT87FF7073,Cyber Alert,Critical,Manufacturing,EMP5B4D3726,Austin,2024-11-10 00:00:00,2024-11-13 00:00:00,Resolved,No
EVTC19F5BD0,Customer Escalation,Critical,Finance,EMP50B4F8C8,Houston,2024-05-17 00:00:00,,Pending,Yes
EVTDC2CBB79,Purchase Request,Normal,Manufacturing,EMP948CC254,Philadelphia,2024-02-08 00:00:00,,Pending,No
EVTA16B7C7C,Machine Breakdown,Critical,Sales,EMPB124EDA1,Austin,2024-06-19 00:00:00,2024-06-21 00:00:00,Resolved,No
EVT255E714E,Cyber Alert,Critical,Logistics,EMP2979D55A,Phoenix,2024-04-10 00:00:00,2024-04-11 00:00:00,Resolved,No
EVT2DE534BC,Purchase Request,Normal,Operations,EMP0D31773D,Los Angeles,2024-07-29 00:00:00,2024-08-12 00:00:00,Resolved,Yes
EVT2D8A278D,Compliance Issue,Warning,Logistics,EMPA81FFF0F,Philadelphia,2024-07-07 00:00:00,2024-07-11 00:00:00,Resolved,No
EVTE3057A9E,Cyber Alert,Critical,Quality,EMPD884CBC9,New York,2024-01-09 00:00:00,,Pending,No
EVT317B3D4D,Power Outage,Warning,Logistics,EMP90174353,Jacksonville,2024-05-11 00:00:00,,Pending,Yes
EVTF65BAACD,Equipment Failure,Critical,Logistics,EMP858A9484,Chicago,2024-03-30 00:00:00,,Pending,Yes
EVT8CE4FA50,Inventory Shortage,Critical,Sales,EMP5D1D6E90,San Jose,2024-12-29 00:00:00,2024-12-30 00:00:00,Resolved,No
EVT163D77FD,Compliance Issue,Warning,Procurement,EMP1DB91339,Houston,2024-07-06 00:00:00,2024-07-13 00:00:00,Resolved,No
EVTB8816DBE,Equipment Failure,Critical,Logistics,EMP5C375EFA,San Jose,2024-09-26 00:00:00,2024-09-29 00:00:00,Resolved,No
EVT15E470BD,Machine Breakdown,Normal,Manufacturing,EMP86F5BECD,Chicago,2024-10-10 00:00:00,,Pending,Yes
EVT2AFBEC02,Equipment Failure,Critical,Sales,EMP63B5ABA3,San Antonio,2024-11-22 00:00:00,2024-11-23 00:00:00,Resolved,No
EVTAB9BC0F7,Inventory Shortage,Warning,Finance,EMP60BBACA4,Austin,2024-07-14 00:00:00,2024-07-20 00:00:00,Resolved,No
EVTBC6EE731,Cyber Alert,Warning,Marketing,EMP5157FCEC,Dallas,2024-02-21 00:00:00,,Pending,Yes
EVT920BFD3A,Machine Breakdown,Critical,Manufacturing,EMP2E201CBF,Los Angeles,2024-12-30 00:00:00,2025-01-02 00:00:00,Resolved,No
EVTD3336D3E,Equipment Failure,Normal,Sales,EMP81D82BD9,San Antonio,2024-04-18 00:00:00,2024-04-30 00:00:00,Resolved,No
EVT04701D7F,Purchase Request,Normal,Manufacturing,EMP470CFC63,Los Angeles,2024-09-26 00:00:00,2024-10-07 00:00:00,Resolved,Yes
EVT2CDDF84D,Power Outage,Critical,Marketing,EMPF132F327,Austin,2024-09-28 00:00:00,2024-10-01 00:00:00,Resolved,No
