asset_id,asset_name,category,warehouse,quantity,reorder_level,unit_price,supplier_id,last_updated,status
ASTCB8F094A,real of,Infrastructure,San Jose,96,21,849.84,VNDF9F92F21,2025-06-17,Active
AST3A5B4405,night star,Machinery,San Jose,145,15,421.43,VND2D25DD42,2024-09-29,Active
AST2EBBD379,machine recent,Machinery,Houston,103,11,421.88,VND11B92497,2024-08-11,Active
ASTB5ABAE81,much particularly,Computers,Dallas,1,1,329.63,VND62396BAB,2026-03-26,Active
ASTC5A0CBA7,their more,Furniture,Dallas,105,26,265.18,VND154E8965,2024-09-30,Active
AST75E1CBCA,man activity,Machinery,Philadelphia,130,28,280.64,VND489E103A,2026-07-21,Active
AST41C5842E,value music,Vehicles,San Diego,79,23,616.08,VND1FA33A03,2025-01-05,Active
AST85E756E2,half success,Tools,Phoenix,113,11,491.85,VND1A32B030,2026-04-26,Active
AST1B77868E,clearly ok,Infrastructure,Jacksonville,40,11,38.9,VNDE05F71D7,2024-01-17,Discontinued
AST0A73AC4A,try west,Machinery,San Antonio,14,1,350.55,VND62396BAB,2026-05-26,Active
AST0EABA2E2,same sort,Tools,Jacksonville,40,11,272.89,VND397FE668,2025-07-17,Active
ASTE3921759,power indeed,Furniture,San Jose,46,8,991.45,VND650A3AAA,2025-05-14,Active
AST2D8DB58D,employee maybe,Computers,Los Angeles,185,19,677.26,VND63A70F54,2024-01-20,Active
ASTC00C93FD,follow interesting,Infrastructure,San Antonio,117,22,451.3,VND1FA33A03,2026-03-01,Active
AST394A3F72,finally capital,Machinery,San Antonio,31,7,415.54,VNDA0E8AF6C,2024-01-30,Active
AST5A0A9797,suffer huge,Furniture,San Antonio,124,15,442.06,VNDF10E17A7,2024-05-17,Active
ASTFE0F3987,piece beat,Tools,Jacksonville,130,23,803.28,VND88584A44,2024-05-18,Active
ASTC564AF6D,inside community,Furniture,Chicago,137,24,118.13,VND76F0F0E0,2026-04-03,Active
ASTCC322FBF,friend fight,Tools,Philadelphia,164,32,390.68,VND275CA511,2025-05-13,Active
AST19E26E29,hotel worker,Tools,New York,64,18,82.93,VNDB732CC31,2024-10-07,Active
AST1B4A6567,should exactly,Machinery,Jacksonville,96,16,554.7,VND6121FB48,2024-02-09,Active
AST099FFCEF,enjoy individual,Computers,San Jose,63,18,455.68,VND9E3DBA67,2026-04-12,Active
ASTCDE9E037,pull add,Furniture,Dallas,97,11,188.75,VNDA9CEA40D,2024-02-11,Low Stock
AST5A29B0C5,indeed number,Vehicles,Austin,123,24,76.81,VND88584A44,2024-07-19,Active
AST0C600E21,employee model,Computers,Jacksonville,134,33,218.3,VND1FA33A03,2026-03-03,Active
AST0CFD8A4B,build so,Infrastructure,Dallas,161,29,471.48,VND489E103A,2024-03-11,Active
AST6B3DEB32,scientist poor,Tools,Philadelphia,208,25,593.65,VND07F575C8,2024-08-29,Active
AST775C33A1,name record,Furniture,Chicago,60,17,226.06,VND3AF51314,2024-03-08,Active
AST32FEDFD1,dinner word,Vehicles,Austin,7,1,892.73,VNDE3830203,2025-12-09,Low Stock
ASTD28DEB01,thought seek,Infrastructure,Austin,208,21,872.6,VND1A32B030,2026-01-19,Active
AST57BDC16B,listen have,Infrastructure,Chicago,37,11,87.38,VND40A7069F,2026-06-01,Active
ASTB9AA268B,his cultural,Furniture,Phoenix,1,1,827.41,VND79774EB1,2025-08-19,Active
AST06388CEB,animal work,Tools,Austin,129,21,647.92,VNDD6FBFD33,2024-05-13,Active
ASTF3ACBBE3,job opportunity,Tools,Phoenix,152,31,699.27,VNDC995E3B7,2026-07-31,Active
ASTF8B8E824,executive day,Vehicles,San Antonio,39,4,963.3,VND19CF5E06,2025-06-24,Active
ASTBA5F5235,item from,Computers,New York,124,17,878.34,VND65B60718,2025-08-21,Active
AST8F14DD74,black image,Tools,Jacksonville,46,12,424.08,VNDB520DAB7,2026-05-05,Active
ASTE0AFB8D8,party book,Furniture,New York,78,10,575.04,VNDC4060F12,2026-04-13,Active
AST04A77BF9,teach activity,Machinery,San Diego,127,13,778.44,VND557FD788,2025-07-07,Discontinued
ASTD3CDFE14,message customer,Vehicles,Philadelphia,152,43,113.64,VNDB520DAB7,2025-08-11,Active
ASTBFCF394A,might station,Tools,San Jose,89,11,508.55,VND40A7069F,2026-04-30,Active
ASTEC99FA18,car hotel,Infrastructure,Philadelphia,45,12,356.7,VNDC4092504,2024-02-27,Active
ASTB87BA761,great watch,Computers,San Antonio,72,20,32.76,VNDF545674F,2026-03-28,Low Stock
AST5F577379,prove parent,Vehicles,San Diego,129,15,77.99,VNDF7A9FFF9,2024-05-18,Active
AST589FE468,career coach,Machinery,Jacksonville,50,8,878.85,VNDB520DAB7,2025-11-26,Active
ASTFD0897E2,customer radio,Vehicles,San Jose,58,10,837.9,VND616471F8,2025-07-06,Active
AST518BB2AB,party marriage,Furniture,San Jose,85,11,870.21,VND6FADEC72,2025-06-03,Active
ASTF827EC43,cut have,Furniture,Austin,177,26,935.5,VND589660CD,2026-06-19,Active
ASTAE6C53DF,body need,Vehicles,San Antonio,136,24,869.83,VND88584A44,2025-10-01,Active
ASTBCBF81D7,maybe bring,Tools,Philadelphia,155,40,778.2,VND111F855A,2024-04-29,Active
ASTB592BF8D,be away,Vehicles,Houston,189,50,165.31,VND2FE40F33,2026-05-13,Active
ASTBAD7AD7D,sea without,Infrastructure,San Diego,128,30,407.63,VNDD39C47AD,2025-01-02,Active
ASTA0DD8F0C,time team,Machinery,Austin,144,19,52.4,VND49098C56,2024-09-28,Active
AST99B908CA,join identify,Vehicles,Austin,95,24,81.09,VND66F3A422,2025-01-28,Low Stock
AST1AF1699F,have voice,Vehicles,Chicago,167,24,482.7,VND10335071,2026-03-27,Active
ASTA5CEBBED,soldier lead,Furniture,San Jose,72,18,38.14,VND3B5BB0BC,2024-07-14,Active
AST5E1755D2,now trouble,Machinery,San Jose,113,19,666.03,VND894C6368,2024-02-17,Discontinued
AST416824B7,money anything,Tools,Chicago,120,14,628.44,VNDE3830203,2025-08-26,Active
AST337A9714,field all,Machinery,Houston,1,1,687.25,VND4EC61792,2024-04-09,Low Stock
AST7E97541D,else across,Machinery,New York,82,8,470.55,VND221D1C44,2025-12-05,Active
ASTF1ECDE05,include somebody,Computers,Dallas,171,41,842.97,VND8539FA55,2025-08-17,Active
AST5D2DB3B9,must why,Tools,Austin,127,28,919.69,VND1FA33A03,2024-08-19,Active
AST6E13A369,shake ago,Vehicles,San Antonio,81,14,929.19,VNDE13413E5,2025-09-26,Active
ASTCB63405B,view fall,Machinery,Houston,135,37,725.26,VND2FE40F33,2024-02-18,Active
AST6C9D4842,citizen become,Machinery,Dallas,128,30,840.44,VND66028154,2025-05-04,Active
AST62D344EF,similar up,Machinery,Jacksonville,182,43,830.55,VNDF981F27F,2025-12-27,Active
AST54DE6BA8,number consumer,Machinery,Phoenix,125,31,531.17,VND3B5BB0BC,2025-02-24,Active
ASTE2066FEC,travel arrive,Furniture,Philadelphia,74,11,271.63,VND4EA7F305,2026-03-04,Active
AST68D7F5B0,work full,Vehicles,Dallas,103,11,144.56,VND7B8206C3,2025-02-24,Active
AST21290D63,major hundred,Furniture,San Diego,117,18,938.39,VNDD95DB1B7,2025-04-30,Active
AST2D1291F0,alone across,Machinery,Austin,85,25,356.2,VNDC73A3BD4,2025-09-26,Active
AST0B2291E1,program meet,Furniture,Phoenix,89,22,821.15,VND4F7B00FC,2025-08-04,Active
ASTE5BFF0C5,place get,Vehicles,Dallas,202,55,555.8,VNDEB6F8ED3,2025-02-26,Low Stock
ASTE6787936,again another,Furniture,Phoenix,145,38,450.17,VNDF5F231C0,2024-06-12,Active
ASTAD661B6D,office eye,Computers,Phoenix,129,34,726.6,VND62396BAB,2026-04-13,Active
ASTC7C8222D,color interest,Infrastructure,San Jose,153,19,42.03,VNDAB26D618,2025-06-17,Active
ASTCF5E56D3,region join,Machinery,Jacksonville,169,36,202.62,VND4520F17A,2025-03-26,Discontinued
AST8AE57269,on early,Infrastructure,Houston,212,25,157.06,VND1A32B030,2026-06-26,Active
ASTEE6A26DA,card each,Tools,Phoenix,90,21,65.54,VNDC939E188,2026-06-16,Active
AST43E914B0,cause inside,Tools,Austin,124,32,827.45,VND154E8965,2024-09-23,Active
ASTF9B3EA55,above watch,Machinery,New York,130,20,376.39,VND221D1C44,2024-04-09,Active
AST586CE387,trial allow,Machinery,Austin,85,23,839.42,VND8E10A670,2025-04-07,Low Stock
AST0E0CA584,or machine,Furniture,Jacksonville,86,15,864.24,VND6ACF147A,2024-08-16,Active
ASTCD79CD87,my perform,Tools,San Diego,86,21,468.64,VND22E4CBF8,2024-05-26,Active
ASTAB986A84,my well,Computers,Los Angeles,47,13,697.95,VNDEA23339B,2025-04-17,Active
AST7BE8B5FC,attorney ago,Infrastructure,San Jose,143,28,559.04,VNDB1228DD8,2024-03-16,Active
ASTADEBD54E,sit member,Infrastructure,Dallas,144,15,805.68,VNDCAE263CC,2025-02-18,Active
AST75FF09CA,fast it,Vehicles,Houston,151,40,297.68,VND1FA33A03,2025-06-29,Active
AST7D64BEE0,put raise,Infrastructure,San Diego,53,12,371.63,VND0B515B0E,2026-05-22,Active
ASTDC77EA8D,end treat,Infrastructure,San Jose,117,13,222.94,VND6FADEC72,2024-10-22,Active
AST5E283505,image teacher,Furniture,Houston,70,12,953.54,VND7A22016F,2024-10-24,Active
ASTEB17D842,do cold,Furniture,San Antonio,126,35,119.33,VND4AFDF46C,2026-02-02,Active
